,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
1049,1682,DWNI.DE,1.972720825447721,4.57977670680304,Real Estate,36.8,EUR,974,834,1808
572,929,SEDG,1.262474728261452,8.389358638159267,Technology,260.91,USD,880,929,1809
44,72,DY,1.918500324696944,5.076682736725403,Industrials,93.04,USD,965,844,1809
1121,1800,UNM,1.921058555260788,5.00609527755424,Financial Services,29.61,USD,968,843,1811
734,1201,MP,1.7039185140604447,5.977912775003342,Basic Materials,43.785,USD,940,874,1814
1043,1671,ACMR,1.4784739329931575,7.247771298732915,Technology,85.87,USD,908,906,1814
553,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1019,1819
545,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1019,1819
546,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1020,1820
557,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1019,1820
554,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1020,1820
549,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1019,1820
547,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1021,1821
558,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1020,1821
555,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1021,1821
550,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1020,1821
559,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1021,1822
548,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1022,1822
551,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1021,1822
556,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,800,1022,1822
552,906,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1022,1823
560,1387,RUAL.ME,0.0970671367517066,11.581350425849504,Basic Materials,88.955,RUB,801,1022,1823
336,571,MANU,-3.2203996578933025,12.293030168704858,Communication Services,13.65,USD,783,1045,1828
242,402,ROKU,1.5487857125607325,6.104251199566445,Communication Services,161.06,USD,935,896,1831
297,506,RGA,1.1836223048279562,7.515419173075459,Financial Services,116.14,USD,897,935,1832
121,189,NWLI,1.9282255076910824,3.9327127302614153,Financial Services,211.05,USD,993,842,1835
269,452,INVH,1.6254811464054548,5.501079452614486,Real Estate,40.24,USD,953,884,1837
279,471,MLKN,1.6347881003465004,5.329765289624798,Consumer Cyclical,41.11,USD,961,881,1842
570,924,CHGG,1.8674253851171871,3.728100249650887,Consumer Defensive,29.64,USD,997,848,1845
685,1122,TCX,-0.6263955548450882,11.072903349057295,Technology,77.43,USD,813,1033,1846
